,player,balloon_color,window_start,window_end,pop_count,score_in_window,bonus_hits
0,Bugs_Bunny,purple,2025-02-05 14:33:10+00:00,2025-02-05 14:33:20+00:00,1,40,0
1,Bugs_Bunny,grey,2025-02-05 14:28:00+00:00,2025-02-05 14:28:10+00:00,1,45,1
2,Jerry,yellow,2025-02-05 14:27:40+00:00,2025-02-05 14:27:50+00:00,1,50,1
3,Mickey,black,2025-02-05 14:26:00+00:00,2025-02-05 14:26:10+00:00,1,80,1
4,Doraemon,yellow,2025-02-05 14:14:30+00:00,2025-02-05 14:14:40+00:00,1,50,0
5,Jerry,brown,2025-02-05 14:02:40+00:00,2025-02-05 14:02:50+00:00,1,35,1
6,Doraemon,black,2025-02-05 13:52:20+00:00,2025-02-05 13:52:30+00:00,1,80,0
7,Pikachu,red,2025-02-05 13:44:20+00:00,2025-02-05 13:44:30+00:00,1,100,1
8,Bugs_Bunny,orange,2025-02-05 13:33:40+00:00,2025-02-05 13:33:50+00:00,1,30,1
9,Tom,grey,2025-02-05 13:32:40+00:00,2025-02-05 13:32:50+00:00,1,45,1
10,Mickey,purple,2025-02-05 13:21:40+00:00,2025-02-05 13:21:50+00:00,1,40,0
11,Mickey,black,2025-02-05 13:20:10+00:00,2025-02-05 13:20:20+00:00,1,80,1
12,Doraemon,brown,2025-02-05 13:10:20+00:00,2025-02-05 13:10:30+00:00,1,35,0
13,Jerry,brown,2025-02-05 13:09:50+00:00,2025-02-05 13:10:00+00:00,1,35,1
14,Scooby_Doo,brown,2025-02-05 13:09:00+00:00,2025-02-05 13:09:10+00:00,1,35,1
15,SpongeBob,blue,2025-02-05 13:03:10+00:00,2025-02-05 13:03:20+00:00,2,150,2
16,SpongeBob,yellow,2025-02-05 13:02:30+00:00,2025-02-05 13:02:40+00:00,1,50,1
17,Bugs_Bunny,orange,2025-02-05 12:57:20+00:00,2025-02-05 12:57:30+00:00,1,30,1
18,Pikachu,green,2025-02-05 12:45:40+00:00,2025-02-05 12:45:50+00:00,1,60,0
19,Tom,white,2025-02-05 12:43:50+00:00,2025-02-05 12:44:00+00:00,1,70,0
20,SpongeBob,yellow,2025-02-05 12:40:00+00:00,2025-02-05 12:40:10+00:00,1,50,1
21,Pikachu,yellow,2025-02-05 12:32:50+00:00,2025-02-05 12:33:00+00:00,1,50,1
22,Homer_Simpson,yellow,2025-02-05 12:28:50+00:00,2025-02-05 12:29:00+00:00,1,50,1
23,Bugs_Bunny,brown,2025-02-05 12:21:30+00:00,2025-02-05 12:21:40+00:00,1,35,0
24,Jerry,orange,2025-02-05 12:18:40+00:00,2025-02-05 12:18:50+00:00,1,30,0
25,Mickey,black,2025-02-05 12:10:20+00:00,2025-02-05 12:10:30+00:00,2,160,2
26,Bugs_Bunny,grey,2025-02-05 12:10:10+00:00,2025-02-05 12:10:20+00:00,1,45,1
27,Bugs_Bunny,grey,2025-02-05 12:08:30+00:00,2025-02-05 12:08:40+00:00,2,90,2
28,Homer_Simpson,red,2025-02-05 12:03:30+00:00,2025-02-05 12:03:40+00:00,1,100,0
29,Pikachu,red,2025-02-05 11:59:10+00:00,2025-02-05 11:59:20+00:00,1,100,1
30,Homer_Simpson,black,2025-02-05 11:46:50+00:00,2025-02-05 11:47:00+00:00,1,80,0
31,Pikachu,red,2025-02-05 11:44:20+00:00,2025-02-05 11:44:30+00:00,2,200,2
32,Homer_Simpson,brown,2025-02-05 11:41:50+00:00,2025-02-05 11:42:00+00:00,1,35,0
33,Homer_Simpson,green,2025-02-05 11:39:30+00:00,2025-02-05 11:39:40+00:00,1,60,0
34,Tom,grey,2025-02-05 11:35:30+00:00,2025-02-05 11:35:40+00:00,1,45,1
35,Bugs_Bunny,orange,2025-02-05 11:25:30+00:00,2025-02-05 11:25:40+00:00,1,30,1
36,Scooby_Doo,brown,2025-02-05 11:24:40+00:00,2025-02-05 11:24:50+00:00,1,35,1
37,Mickey,black,2025-02-05 11:24:20+00:00,2025-02-05 11:24:30+00:00,1,80,1
38,Jerry,brown,2025-02-05 11:16:00+00:00,2025-02-05 11:16:10+00:00,1,35,1
39,Homer_Simpson,black,2025-02-05 11:15:50+00:00,2025-02-05 11:16:00+00:00,1,80,0
40,Doraemon,black,2025-02-05 11:14:20+00:00,2025-02-05 11:14:30+00:00,1,80,0
