,player,window_start,window_end,pop_count,score_in_window
0,Pikachu,2025-02-05 14:43:20+00:00,2025-02-05 14:43:30+00:00,1,100
1,Pikachu,2025-02-05 14:32:30+00:00,2025-02-05 14:32:40+00:00,1,50
2,Homer_Simpson,2025-02-05 14:30:20+00:00,2025-02-05 14:30:30+00:00,1,75
3,SpongeBob,2025-02-05 14:23:00+00:00,2025-02-05 14:23:10+00:00,2,125
4,Mickey,2025-02-05 13:51:40+00:00,2025-02-05 13:51:50+00:00,2,145
5,Doraemon,2025-02-05 13:47:10+00:00,2025-02-05 13:47:20+00:00,1,75
6,Tom,2025-02-05 13:46:50+00:00,2025-02-05 13:47:00+00:00,1,45
7,Tom,2025-02-05 13:43:20+00:00,2025-02-05 13:43:30+00:00,1,45
8,Jerry,2025-02-05 13:26:00+00:00,2025-02-05 13:26:10+00:00,1,50
9,Scooby_Doo,2025-02-05 13:20:20+00:00,2025-02-05 13:20:30+00:00,2,95
10,Homer_Simpson,2025-02-05 13:16:00+00:00,2025-02-05 13:16:10+00:00,1,50
11,Doraemon,2025-02-05 13:15:50+00:00,2025-02-05 13:16:00+00:00,2,75
12,Tom,2025-02-05 13:09:10+00:00,2025-02-05 13:09:20+00:00,2,120
13,Jerry,2025-02-05 12:55:20+00:00,2025-02-05 12:55:30+00:00,3,200
14,Doraemon,2025-02-05 12:48:20+00:00,2025-02-05 12:48:30+00:00,1,35
15,Bugs_Bunny,2025-02-05 12:40:10+00:00,2025-02-05 12:40:20+00:00,2,75
16,Doraemon,2025-02-05 12:28:50+00:00,2025-02-05 12:29:00+00:00,1,35
17,Tom,2025-02-05 12:08:50+00:00,2025-02-05 12:09:00+00:00,2,120
18,Mickey,2025-02-05 12:01:30+00:00,2025-02-05 12:01:40+00:00,3,260
19,Mickey,2025-02-05 12:00:40+00:00,2025-02-05 12:00:50+00:00,3,230
20,Bugs_Bunny,2025-02-05 11:59:00+00:00,2025-02-05 11:59:10+00:00,2,75
21,Pikachu,2025-02-05 11:55:40+00:00,2025-02-05 11:55:50+00:00,2,100
22,Scooby_Doo,2025-02-05 11:43:40+00:00,2025-02-05 11:43:50+00:00,1,60
23,Homer_Simpson,2025-02-05 11:38:20+00:00,2025-02-05 11:38:30+00:00,2,150
24,Mickey,2025-02-05 11:20:40+00:00,2025-02-05 11:20:50+00:00,1,40
25,Jerry,2025-02-05 11:11:10+00:00,2025-02-05 11:11:20+00:00,1,50
26,Homer_Simpson,2025-02-05 11:10:40+00:00,2025-02-05 11:10:50+00:00,1,50
27,Mickey,2025-02-05 11:06:50+00:00,2025-02-05 11:07:00+00:00,1,80
28,Mickey,2025-02-05 15:01:00+00:00,2025-02-05 15:01:10+00:00,1,100
29,Pikachu,2025-02-05 14:38:30+00:00,2025-02-05 14:38:40+00:00,2,150
30,Jerry,2025-02-05 14:28:20+00:00,2025-02-05 14:28:30+00:00,1,50
31,Scooby_Doo,2025-02-05 14:22:30+00:00,2025-02-05 14:22:40+00:00,1,35
32,Scooby_Doo,2025-02-05 14:19:50+00:00,2025-02-05 14:20:00+00:00,3,220
33,Pikachu,2025-02-05 14:09:00+00:00,2025-02-05 14:09:10+00:00,1,50
34,Scooby_Doo,2025-02-05 14:05:50+00:00,2025-02-05 14:06:00+00:00,1,60
35,Mickey,2025-02-05 14:01:30+00:00,2025-02-05 14:01:40+00:00,2,200
36,Scooby_Doo,2025-02-05 13:53:40+00:00,2025-02-05 13:53:50+00:00,3,120
37,Pikachu,2025-02-05 13:48:40+00:00,2025-02-05 13:48:50+00:00,2,150
38,SpongeBob,2025-02-05 13:27:30+00:00,2025-02-05 13:27:40+00:00,1,50
39,Jerry,2025-02-05 13:25:10+00:00,2025-02-05 13:25:20+00:00,1,30
40,Bugs_Bunny,2025-02-05 13:25:00+00:00,2025-02-05 13:25:10+00:00,3,155
41,SpongeBob,2025-02-05 13:23:30+00:00,2025-02-05 13:23:40+00:00,1,50
42,Tom,2025-02-05 13:14:20+00:00,2025-02-05 13:14:30+00:00,2,150
43,Doraemon,2025-02-05 13:09:40+00:00,2025-02-05 13:09:50+00:00,1,75
44,Bugs_Bunny,2025-02-05 13:03:40+00:00,2025-02-05 13:03:50+00:00,2,130
45,Homer_Simpson,2025-02-05 13:01:40+00:00,2025-02-05 13:01:50+00:00,2,150
46,Bugs_Bunny,2025-02-05 12:53:40+00:00,2025-02-05 12:53:50+00:00,1,45
47,Bugs_Bunny,2025-02-05 12:48:50+00:00,2025-02-05 12:49:00+00:00,1,30
48,Jerry,2025-02-05 12:34:20+00:00,2025-02-05 12:34:30+00:00,1,50
49,Homer_Simpson,2025-02-05 12:19:40+00:00,2025-02-05 12:19:50+00:00,1,80
50,Tom,2025-02-05 12:18:10+00:00,2025-02-05 12:18:20+00:00,2,150
51,Tom,2025-02-05 12:17:00+00:00,2025-02-05 12:17:10+00:00,2,90
52,Jerry,2025-02-05 12:12:00+00:00,2025-02-05 12:12:10+00:00,1,50
53,Tom,2025-02-05 12:11:30+00:00,2025-02-05 12:11:40+00:00,1,75
54,Jerry,2025-02-05 12:03:40+00:00,2025-02-05 12:03:50+00:00,1,50
55,Jerry,2025-02-05 11:54:10+00:00,2025-02-05 11:54:20+00:00,1,50
56,Tom,2025-02-05 11:36:10+00:00,2025-02-05 11:36:20+00:00,1,80
57,Scooby_Doo,2025-02-05 11:33:50+00:00,2025-02-05 11:34:00+00:00,2,95
58,Doraemon,2025-02-05 11:30:10+00:00,2025-02-05 11:30:20+00:00,1,35
59,Doraemon,2025-02-05 11:23:40+00:00,2025-02-05 11:23:50+00:00,1,35
60,Doraemon,2025-02-05 14:57:00+00:00,2025-02-05 14:57:10+00:00,2,155
61,Jerry,2025-02-05 14:39:20+00:00,2025-02-05 14:39:30+00:00,2,85
